ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
3475,Microtubule-associated protein 4,MAP4,,BC015149,P27816,MAP4_HUMAN,,MAP4,MAP4,HGNC:6862,Humans,DB11638
3476,Pro-neuropeptide Y,NPY,,BC029497,P01303,NPY_HUMAN,1QFA; 1RON; 7RTA; 7VGX; 7X9A; 7X9B; 7YOO; 8K6M; 8K6N; 8K6O,NPY,NPY,HGNC:7955,Humans,DB00191
3478,Melanin-concentrating hormone receptor 1,MCHR1,,U71092,Q99705,MCHR1_HUMAN,8WSS,MCHR1,MCHR1,HGNC:4479,Humans,DB00502
3479,Tumor necrosis factor receptor superfamily member 8,TNFRSF8,,AY498860,P28908,TNR8_HUMAN,1D01,TNFRSF8,TNFRSF8,HGNC:11923,Humans,DB08870
3483,"HLA class I histocompatibility antigen, A-3 alpha chain",HLA-A,,AF226843,P04439,1A03_HUMAN,2XPG; 3RL1; 3RL2,,HLA-A,HGNC:4931,Humans,DB11294
3484,Serine/threonine protein kinase UL97,UL97,,BK000394,P16788,UL97_HCMVA,,,,,HHV-5,DB06234
3486,Interleukin-15,IL15,,Z38000,P40933,IL15_HUMAN,2XQB; 2Z3Q; 2Z3R; 4GS7,IL15,IL15,HGNC:5977,Humans,DB01327
3488,T-cell surface glycoprotein CD4,CD4,,BC025782,P01730,CD4_HUMAN,1CDH; 1CDI; 1CDJ; 1CDU; 1CDY; 1G9M; 1G9N; 1GC1; 1JL4; 1Q68; 1RZJ; 1RZK; 1WBR; 1WIO; 1WIP; 1WIQ; 2B4C; 2JKR; 2JKT; 2KLU; 2NXY; 2NXZ; 2NY0; 2NY1; 2NY2; 2NY3; 2NY4; 2NY5; 2NY6; 2QAD; 3B71; 3CD4; 3J70; 3JCB; 3JCC; 3JWD; 3JWO; 3LQA; 3O2D; 3S4S; 3S5L; 3T0E; 4H8W; 4JM2; 4P9H; 4Q6I; 4R2G; 4R4H; 4RQS; 5A7X; 5A8H; 5CAY; 5THR; 5U1F; 5VN3; 6CM3; 6EDU; 6L1Y; 6MEO; 6MET; 6OPN; 6OPO; 6OPP; 6OPQ; 6QH6; 6QH7; 6U0L; 6U0N; 6URI; 6X5B; 6X5C; 7T0O; 7T0R; 7TXD; 8D5C; 8FYI; 8FYJ; 8W90,CD4,CD4,HGNC:1678,Humans,DB00098; DB12698
3491,Insulin,INS,,AJ009655,P01308,INS_HUMAN,1A7F; 1AI0; 1AIY; 1B9E; 1BEN; 1EFE; 1EV3; 1EV6; 1EVR; 1FU2; 1FUB; 1G7A; 1G7B; 1GUJ; 1HIQ; 1HIS; 1HIT; 1HLS; 1HTV; 1HUI; 1IOG; 1IOH; 1J73; 1JCA; 1JCO; 1JK8; 1K3M; 1KMF; 1LKQ; 1LPH; 1MHI; 1MHJ; 1MSO; 1OS3; 1OS4; 1Q4V; 1QIY; 1QIZ; 1QJ0; 1RWE; 1SF1; 1SJT; 1SJU; 1T0C; 1T1K; 1T1P; 1T1Q; 1TRZ; 1TYL; 1TYM; 1UZ9; 1VKT; 1W8P; 1XDA; 1XGL; 1XW7; 1ZEG; 1ZEH; 1ZNJ; 2AIY; 2C8Q; 2C8R; 2CEU; 2G54; 2G56; 2H67; 2HH4; 2HHO; 2HIU; 2JMN; 2JUM; 2JUU; 2JUV; 2JV1; 2JZQ; 2K91; 2K9R; 2KJJ; 2KJU; 2KQP; 2KQQ; 2KXK; 2L1Y; 2L1Z; 2LGB; 2LWZ; 2M1D; 2M1E; 2M2M; 2M2N; 2M2O; 2M2P; 2MLI; 2MPG; 2MPI; 2MVC; 2MVD; 2N2V; 2N2W; 2N2X; 2OLY; 2OLZ; 2OM0; 2OM1; 2OMG; 2OMH; 2OMI; 2OMQ; 2QIU; 2R34; 2R35; 2R36; 2RN5; 2VJZ; 2VK0; 2W44; 2WBY; 2WC0; 2WRU; 2WRV; 2WRW; 2WRX; 2WS0; 2WS1; 2WS4; 2WS6; 2WS7; 3AIY; 3BXQ; 3E7Y; 3E7Z; 3EXX; 3FQ9; 3HYD; 3I3Z; 3I40; 3ILG; 3INC; 3IR0; 3JSD; 3KQ6; 3P2X; 3P33; 3Q6E; 3ROV; 3TT8; 3U4N; 3UTQ; 3UTS; 3UTT; 3V19; 3V1G; 3W11; 3W12; 3W13; 3W7Y; 3W7Z; 3W80; 3ZI3; 3ZQR; 3ZS2; 3ZU1; 4AIY; 4AJX; 4AJZ; 4AK0; 4AKJ; 4CXL; 4CXN; 4CY7; 4EFX; 4EWW; 4EWX; 4EWZ; 4EX0; 4EX1; 4EXX; 4EY1; 4EY9; 4EYD; 4EYN; 4EYP; 4F0N; 4F0O; 4F1A; 4F1B; 4F1C; 4F1D; 4F1F; 4F1G; 4F4T; 4F4V; 4F51; 4F8F; 4FG3; 4FKA; 4GBC; 4GBI; 4GBK; 4GBL; 4GBN; 4IUZ; 4IYD; 4IYF; 4NIB; 4OGA; 4P65; 4RXW; 4UNE; 4UNG; 4UNH; 4WDI; 4XC4; 4Y19; 4Y1A; 4Z76; 4Z77; 4Z78; 5AIY; 5BOQ; 5BPO; 5BQQ; 5BTS; 5C0D; 5CJO; 5CNY; 5CO2; 5CO6; 5CO9; 5E7W; 5EMS; 5EN9; 5ENA; 5HPR; 5HPU; 5HQI; 5HRQ; 5HYJ; 5MAM; 5MHD; 5MT3; 5MT9; 5MWQ; 5T7R; 5UDP; 5UOZ; 5UQA; 5URT; 5URU; 5USP; 5USS; 5USV; 5UU2; 5UU3; 5UU4; 5VIZ; 5WBT; 5WDM; 5WOB; 6B3Q; 6B70; 6BFC; 6CE7; 6CE9; 6CEB; 6CK2; 6GNQ; 6GV0; 6H3M; 6HN5; 6JK8; 6JR3; 6K59; 6NWV; 6O17; 6P4Z; 6S34; 6S4I; 6S4J; 6SOF; 6TC2; 6TYH; 6U46; 6VEP; 6VER; 6VES; 6VET; 6X4X; 6Z7W; 6Z7Y; 7BW7; 7BW8; 7BWA; 7JP3; 7KD6; 7MD4; 7MD5; 7MQO; 7MQR; 7MQS; 7NHU; 7NMG; 7PG0; 7PG2; 7PG3; 7PG4; 7QAC; 7QGF; 7QID; 7RKD; 7RZE; 7RZF; 7RZI; 7S4Y; 7SL1; 7SL2; 7SL3; 7SL4; 7SL6; 7SL7; 7STH; 7STI; 7STJ; 7STK; 7U6E; 7V3P; 7YQ3; 7YQ4; 7YQ5; 7Z5L; 7Z5Q; 8EYX; 8EYY; 8EZ0; 8GSG; 8GUY; 8HGZ; 8HSF; 8HSK; 8IPZ; 8OKY; 8ONI; 8ONK; 8ONP; 8ONR; 8PI4; 8PI5; 8PI6; 8PJH; 8RRP; 8RVT; 8SBD; 8VCX; 8VDD; 8Z4B,INS,INS,HGNC:6081,Humans,DB00638; DB01593; DB09564; DB14487; DB14533; DB14548
3492,SLAM family member 7,SLAMF7,,BC027867,Q9NQ25,SLAF7_HUMAN,,SLAMF7,SLAMF7,HGNC:21394,Humans,DB06317
3493,Tyrosine-protein kinase JAK3,JAK3,,U57096,P52333,JAK3_HUMAN,1YVJ; 3LXK; 3LXL; 3PJC; 3ZC6; 3ZEP; 4HVD; 4HVG; 4HVH; 4HVI; 4I6Q; 4QPS; 4QT1; 4RIO; 4V0G; 4Z16; 5LWM; 5LWN; 5TOZ; 5TTS; 5TTU; 5TTV; 5VO6; 5W86; 5WFJ; 6AAK; 6DA4; 6DB3; 6DB4; 6DUD; 6GL9; 6GLA; 6GLB; 6HZV; 6NY4; 7APF; 7APG; 7C3N; 7Q6H; 7UYV; 8EXM,JAK3,JAK3,HGNC:6193,Humans,DB08877; DB08895; DB11697; DB11763; DB11817; DB12010; DB14924; DB14973; DB15035
3496,B-lymphocyte antigen CD19,CD19,,BC006338,P15391,CD19_HUMAN,6AL5; 7JIC; 7URV; 7URX,CD19,CD19,HGNC:1633,Humans,DB09052; DB12530; DB13881; DB13915; DB15044; DB15699; DB16222; DB16582
3502,Guanylyl cyclase C,GUCY2C,,U20230,P25092,GUC2C_HUMAN,8FX4; 8GHO; 8GHP,GUCY2C,GUCY2C,HGNC:4688,Humans,DB08890; DB13170
3503,Carboxypeptidase N catalytic chain,CPN1,,BC027897,P15169,CBPN_HUMAN,2NSM,CPN1,CPN1,HGNC:2312,Humans,DB01593; DB14487; DB14533; DB14548
3504,Carboxypeptidase N subunit 2,CPN2,,BC042334,P22792,CPN2_HUMAN,,CPN2,CPN2,HGNC:2313,Humans,DB01593; DB14487; DB14533; DB14548
3508,Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R,,BC112247,Q03431,PTH1R_HUMAN,1BL1; 3C4M; 3H3G; 3L2J; 4Z8J; 5EMB; 6NBF; 6NBH; 6NBI; 7UZO; 7UZP; 7VVJ; 7VVK; 7VVL; 7VVM; 7VVN; 7VVO; 7Y35; 7Y36; 8BIA; 8BJ0; 8D51; 8D52; 8FLQ; 8FLR; 8FLS; 8FLT; 8FLU; 8GW8; 8HA0; 8HAF; 8HAO; 8JR9,PTH1R,PTHR1,HGNC:9608,Humans,DB05084; DB05829; DB06285; DB18676
3511,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,,AF118278,Q07820,MCL1_HUMAN,2KBW; 2MHS; 2NL9; 2NLA; 2PQK; 3D7V; 3IO9; 3KJ0; 3KJ1; 3KJ2; 3KZ0; 3MK8; 3PK1; 3TWU; 3WIX; 3WIY; 4BPI; 4BPJ; 4HW2; 4HW3; 4HW4; 4OQ5; 4OQ6; 4WGI; 4WMR; 4WMS; 4WMT; 4WMU; 4WMV; 4WMW; 4WMX; 4ZBF; 4ZBI; 5C3F; 5C6H; 5FC4; 5FDO; 5FDR; 5IEZ; 5IF4; 5JSB; 5KU9; 5LOF; 5MES; 5MEV; 5UUM; 5VKC; 5VX2; 5W89; 5W8F; 6B4L; 6B4U; 6BW2; 6BW8; 6FS0; 6FS1; 6FS2; 6MBD; 6MBE; 6NE5; 6O4U; 6O6F; 6O6G; 6OQB; 6OQC; 6OQD; 6OQN; 6OVC; 6P3P; 6QB3; 6QB4; 6QB6; 6QFC; 6QFI; 6QFM; 6QFQ; 6QGD; 6QXJ; 6QYK; 6QYL; 6QYN; 6QYO; 6QYP; 6QZ5; 6QZ6; 6QZ7; 6QZ8; 6QZB; 6STJ; 6U63; 6U64; 6U65; 6U67; 6U6F; 6UA3; 6UAB; 6UD2; 6UDI; 6UDT; 6UDU; 6UDV; 6UDX; 6UDY; 6VBX; 6YBG; 6YBJ; 6YBK; 6YBL; 6ZIE; 7NB4; 7NB7; 7XGE; 8AV9; 8EKX; 8EL0; 8EL1; 8G3S; 8G3T; 8G3U; 8G3W; 8G3X; 8G3Y; 8H7B; 8IQM; 8QSO; 8SVY; 8T6F; 8VJP; 9BCG,MCL1,MCL1,HGNC:6943,Humans,DB00619; DB04813
3512,Casein kinase I isoform epsilon,CSNK1E,,BC006490,P49674,KC1E_HUMAN,4HNI; 4HOK,CSNK1E,CSNK1E,HGNC:2453,Humans,DB14989
3513,B2 bradykinin receptor,BDKRB2,,BC074895,P30411,BKRB2_HUMAN,7F2O; 7F6H; 7F6I,BDKRB2,BDKRB2,HGNC:1030,Humans,DB06196
3517,Tumor necrosis factor ligand superfamily member 11,TNFSF11,,AF013171,O14788,TNF11_HUMAN,3URF; 5BNQ,TNFSF11,TNFSF11,HGNC:11926,Humans,DB00480; DB06643
3518,Toll-like receptor 8,TLR8,,BC101077,Q9NR97,TLR8_HUMAN,3W3G; 3W3J; 3W3K; 3W3L; 3W3M; 3W3N; 3WN4; 4QBZ; 4QC0; 4R07; 4R08; 4R09; 4R0A; 4R6A; 5AWA; 5AWB; 5AWC; 5AWD; 5AZ5; 5HDH; 5WYX; 5WYZ; 5Z14; 5Z15; 6KYA; 6TY5; 6V9U; 6WML; 6ZJZ; 7CRF; 7R52; 7R53; 7R54; 7RC9; 7YTX; 8PFI,TLR8,TLR8,HGNC:15632,Humans,DB00724
3520,Interleukin-4,IL4,,X06750,P05112,IL4_HUMAN,1BBN; 1BCN; 1CYL; 1HIJ; 1HIK; 1HZI; 1IAR; 1ITI; 1ITL; 1ITM; 1RCB; 2B8U; 2B8X; 2B8Y; 2B8Z; 2B90; 2B91; 2CYK; 2D48; 2INT; 3BPL; 3BPN; 3QB7; 4YDY; 5FHX; 6OEL; 8A4F; 8CGF; 8CH7,IL4,IL4,HGNC:6014,Humans,DB12159
3521,Motilin receptor,MLNR,,AL137000,O43193,MTLR_HUMAN,8IBU; 8IBV,MLNR,MLNR,HGNC:4495,Humans,DB00199
3522,Prostaglandin E2 receptor EP4 subtype,PTGER4,,BC113523,P35408,PE2R4_HUMAN,5YHL; 5YWY; 7D7M; 8GCM; 8GCP; 8GD9; 8GDA; 8GDB,PTGER4,PTGER4,HGNC:9596,Humans,DB00770; DB00917; DB00929; DB11113; DB12789
3523,Histone deacetylase 4,HDAC4,,AF132607,P56524,HDAC4_HUMAN,2H8N; 2O94; 2VQJ; 2VQM; 2VQO; 2VQQ; 2VQV; 2VQW; 3UXG; 3UZD; 3V31; 4CBT; 4CBY; 5A2S; 5ZOO; 5ZOP; 6FYZ; 7XUZ; 8PDE,HDAC4,HDAC4,HGNC:14063,Humans,DB01593; DB06176; DB14487; DB14533; DB14548
3527,Neuraminidase,NA,,M54967,P27907,NRAM_INBBE,1A4G; 1A4Q; 1NSB; 1NSC; 1NSD,,,,Influenza B virus (strain B/Beijing/1/1987),DB00558; DB06614
3528,Somatostatin receptor type 2,SSTR2,,BC095495,P30874,SSR2_HUMAN,7T10; 7T11; 7UL5; 7WIC; 7WIG; 7WJ5; 7XAT; 7XAU; 7XAV; 7XMR; 7Y24; 7Y26; 7Y27; 7YAC; 7YAE,SSTR2,SSTR2,HGNC:11331,Humans,DB00104; DB06663; DB06791; DB09099; DB13925; DB13985; DB15494; DB15873
3529,Somatostatin receptor type 3,SSTR3,,BC096829,P32745,SSR3_HUMAN,8XIQ; 8XIR,SSTR3,SSTR3,HGNC:11332,Humans,DB06663; DB09099; DB13985; DB15494
3531,Chymotrypsinogen B,CTRB1,,BC005385,P17538,CTRB1_HUMAN,,CTRB1,CTRB1,HGNC:2521,Humans,DB06692
3533,Cytochrome P450 2E1,CYP2E1,181360,J02625,P05181,CP2E1_HUMAN,3E4E; 3E6I; 3GPH; 3KOH; 3LC4; 3T3Z,CYP2E1,,HGNC:2631,Humans,DB11994
3536,Cytochrome P450 2C19,CYP2C19,181344,M61854,P33261,CP2CJ_HUMAN,4GQS,CYP2C19,,HGNC:2621,Humans,DB00951
3537,"Cholesterol side-chain cleavage enzyme, mitochondrial",CYP11A1,181376,M14565,P05108,CP11A_HUMAN,3N9Y; 3N9Z; 3NA0; 3NA1,CYP11A1,,HGNC:2590,Humans,DB00357; DB05667
3538,UDP-glucuronosyltransferase 1A9,UGT1A9,7690346,S55985,O60656,UD19_HUMAN,,UGT1A9,,HGNC:12541,Humans,DB04824
3539,Aldehyde oxidase,AOX1,438656,L11005,Q06278,AOXA_HUMAN,4UHW; 4UHX; 5EPG; 6Q6Q; 7OPN; 7ORC; 8EMT,AOX1,,HGNC:553,Humans,DB00170; DB00924
3540,Adenosine kinase,ADK,1224125,U50196,P55263,ADK_HUMAN,1BX4; 2I6A; 2I6B; 4O1L,ADK,,HGNC:257,Humans,DB00131
3541,UDP-glucuronosyltransferase 1A1,UGT1A1,184473,M57899,P22309,UD11_HUMAN,,UGT1A1,,HGNC:12530,Humans,DB12010
3542,"Cytochrome P450 11B2, mitochondrial",CYP11B2,35200,X54741,P19099,C11B2_HUMAN,4DVQ; 4FDH; 4ZGX; 6XZ8; 6XZ9; 7M8I; 7M8V,CYP11B2,,HGNC:2592,Humans,DB05667; DB11837
3546,"Alkaline phosphatase, tissue-nonspecific isozyme",ALPL,28738,X14174,P05186,PPBT_HUMAN,7YIV; 7YIW; 7YIX,ALPL,,HGNC:438,Humans,DB00848
3549,Cytochrome P450 2B6,CYP2B6,181296,M29874,P20813,CP2B6_HUMAN,3IBD; 3QOA; 3QU8; 3UA5; 4I91; 4RQL; 4RRT; 4ZV8; 5UAP; 5UDA; 5UEC; 5UFG; 5WBG,CYP2B6,,HGNC:2615,Humans,DB04794
3552,C-X-C chemokine receptor type 1,CXCR1,559050,L19591,P25024,CXCR1_HUMAN,1ILP; 1ILQ; 2LNL; 6XMN; 8IC0,CXCR1,,HGNC:6026,Humans,DB01009; DB01050
3553,Acetylserotonin O-methyltransferase,ASMT,607840,U11090,P46597,ASMT_HUMAN,4A6D; 4A6E,ASMT,,HGNC:750,Humans,DB01065
3554,Nuclear receptor ROR-beta,RORB,1619294,Y08639,Q92753,RORB_HUMAN,,RORB,,HGNC:10259,Humans,DB01065
3555,Eosinophil peroxidase,EPX,31183,X14346,P11678,PERE_HUMAN,,EPX,,HGNC:3423,Humans,DB01065
3556,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",PDE6G,189703,M36476,P18545,CNRG_HUMAN,3JWR,PDE6G,,HGNC:8789,Humans,DB00203; DB00820; DB00862
3557,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",PDE6H,1311544,D45399,Q13956,CNCG_HUMAN,,PDE6H,,HGNC:8790,Humans,DB00203; DB00862
3558,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",PDE11A,10716052,AB036704,Q9HCR9,PDE11_HUMAN,,PDE11A,,HGNC:8773,Humans,DB00820
3559,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,984325,U30255,P52209,6PGD_HUMAN,2JKV; 4GWG; 4GWK; 5UQ9,PGD,,HGNC:8891,Humans,DB00789; DB00851; DB00920
3560,Prostaglandin reductase 2,PTGR2,37912002,AY346133,Q8N8N7,PTGR2_HUMAN,2VNA; 2W4Q; 2W98; 2ZB4; 2ZB7; 2ZB8,PTGR2,,HGNC:20149,Humans,DB00328
3561,Prostaglandin D2 receptor 2,PTGDR2,4204216,AB008535,Q9Y5Y4,PD2R2_HUMAN,6D26; 6D27; 7M8W,PTGDR2,,HGNC:4502,Humans,DB00328; DB00605; DB00770; DB00917; DB01088; DB11629; DB12789
3563,Voltage-dependent calcium channel subunit alpha-2/delta-3,CACNA2D3,7105926,AJ272268,Q8IZS8,CA2D3_HUMAN,,CACNA2D3,,HGNC:15460,Humans,DB00381; DB06712
3565,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",PDE1A,1151109,U40370,P54750,PDE1A_HUMAN,,PDE1A,,HGNC:8774,Humans,DB00622; DB01023; DB01244
3566,"Troponin C, skeletal muscle",TNNC2,36729,X07898,P02585,TNNC2_HUMAN,7KAA,TNNC2,,HGNC:11944,Humans,DB01023
3567,Receptor-type tyrosine-protein phosphatase S,PTPRS,1109792,U35234,Q13332,PTPRS_HUMAN,2FH7; 2YD2; 2YD3; 2YD9; 4BPC; 4PBX,PTPRS,,HGNC:9681,Humans,DB00630; DB01077
3568,Receptor-type tyrosine-protein phosphatase epsilon,PTPRE,35792,X54134,P23469,PTPRE_HUMAN,2JJD; 6D3F; 6D4D; 6D4F,PTPRE,,HGNC:9669,Humans,DB00630; DB01133
3569,V-type proton ATPase catalytic subunit A,ATP6V1A,291868,L09235,P38606,VATA_HUMAN,6WLZ; 6WM2; 6WM3; 6WM4; 7U4T; 7UNF,ATP6V1A,,HGNC:851,Humans,DB00630; DB01077
3570,Geranylgeranyl pyrophosphate synthase,GGPS1,4520350,AB017971,O95749,GGPPS_HUMAN,2Q80; 6C56; 6C57; 6G31; 6G32; 6R4V,GGPS1,,HGNC:4249,Humans,DB00282; DB00399; DB00710
3572,Rho-related GTP-binding protein RhoB,RHOB,36032,X06820,P62745,RHOB_HUMAN,2FV8; 6HXU; 6SGE,RHOB,,HGNC:668,Humans,DB00083
3573,Major histocompatibility complex class I-related gene protein,MR1,940354,U22963,Q95460,HMR1_HUMAN,4GUP; 4L4T; 4L4V; 4LCW; 4NQC; 4NQD; 4NQE; 4PJ5; 4PJ7; 4PJ8; 4PJ9; 4PJA; 4PJB; 4PJC; 4PJD; 4PJE; 4PJF; 4PJG; 4PJH; 4PJI; 4PJX; 5D5M; 5D7I; 5D7J; 5D7L; 5U16; 5U17; 5U1R; 5U2V; 5U6Q; 5U72; 6MWR; 6PUC; 6PUD; 6PUE; 6PUF; 6PUG; 6PUH; 6PUI; 6PUJ; 6PUK; 6PUL; 6PUM; 6PVC; 6PVD; 6W9U; 6W9V; 6XQP; 7LLI; 7LLJ; 7RNO; 7UFJ; 7UMG; 7ZT2; 7ZT3; 7ZT4; 7ZT5; 7ZT7; 7ZT8; 7ZT9; 8BP6,MR1,,HGNC:4975,Humans,DB00098
3575,Integrin beta-1,ITGB1,31442,X07979,P05556,ITB1_HUMAN,3G9W; 3T9K; 3VI3; 3VI4; 4DX9; 4WJK; 4WK0; 4WK2; 4WK4; 7CEB; 7CEC; 7NWL; 7NXD; 8RPQ; 9CKV,ITGB1,,HGNC:6153,Humans,DB00098
3576,Integrin alpha-V,ITGAV,340307,M14648,P06756,ITAV_HUMAN,1JV2; 1L5G; 1M1X; 1U8C; 3IJE; 4G1E; 4G1M; 4MMX; 4MMY; 4MMZ; 4O02; 4UM8; 4UM9; 5FFG; 5FFO; 5NEM; 5NER; 5NET; 5NEU; 6AVQ; 6AVR; 6AVU; 6DJP; 6MK0; 6MSL; 6MSU; 6NAJ; 6OM1; 6OM2; 6UJA; 6UJB; 6UJC; 7Y1T; 8IJ5; 8TCF; 8TCG,ITGAV,,HGNC:6150,Humans,DB00098; DB00451
3577,Penicillin binding protein 2a,mecA,,,C1KC03,C1KC03_STAAU,,,,,Staphylococcus aureus,DB00274; DB00430; DB01000; DB01607
3578,Guanylate cyclase soluble subunit alpha-2,GUCY1A2,31671,X63282,P33402,GCYA2_HUMAN,,GUCY1A2,,HGNC:4684,Humans,DB00435; DB01020; DB08931; DB09241; DB09282; DB13170
3579,Penicillin-binding protein 2,mrdA,42314,X04516,P0AD65,PBP2_ECOLI,,,,,Escherichia coli (strain K12),DB00303; DB00438; DB00671; DB00948; DB01327; DB01328; DB01329; DB01413; DB01415; DB01598; DB06211; DB09050; DB16335
3580,Nischarin,NISCH,3462807,AF082516,Q9Y2I1,NISCH_HUMAN,3P0C; 8ESF,NISCH,,HGNC:18006,Humans,DB00697; DB09242; DB15133
3582,Potassium channel subfamily K member 3,KCNK3,2465542,AF006823,O14649,KCNK3_HUMAN,6RV2; 6RV3; 6RV4,KCNK3,,HGNC:6278,Humans,DB00561; DB01159
3583,Potassium channel subfamily K member 9,KCNK9,7546843,AF212829,Q9NPC2,KCNK9_HUMAN,3P1N; 3P1O; 3P1P; 3P1Q; 3P1R; 3P1S; 3SMK; 3SML; 3SMM; 3SMN; 3SMO; 3SP5; 3SPR; 3UX0; 4FR3; 6GHP; 8K1J; 8K1Q; 8K1V; 8K1Z,KCNK9,,HGNC:6283,Humans,DB00561; DB01159
3584,Neuronal acetylcholine receptor subunit beta-4,CHRNB4,1458126,U62439,P30926,ACHB4_HUMAN,6PV7; 6PV8,CHRNB4,,HGNC:1964,Humans,DB00184; DB00472; DB00514; DB00898; DB01090; DB01227
3585,Neuronal acetylcholine receptor subunit alpha-3,CHRNA3,177898,M86383,P32297,ACHA3_HUMAN,4ZK4; 5SYO; 5TVC; 6PV7; 6PV8,CHRNA3,,HGNC:1957,Humans,DB00184; DB00333; DB00472; DB00514; DB00848; DB00898; DB00915; DB01090; DB01156; DB01227; DB01273; DB06402
3586,Neuronal acetylcholine receptor subunit alpha-5,CHRNA5,177926,M83712,P30532,ACHA5_HUMAN,,CHRNA5,,HGNC:1959,Humans,DB00184; DB00898
3587,Neuronal acetylcholine receptor subunit alpha-6,CHRNA6,1458118,U62435,Q15825,ACHA6_HUMAN,,CHRNA6,,HGNC:15963,Humans,DB00184; DB00898; DB01273
3588,Neuronal acetylcholine receptor subunit beta-3,CHRNB3,1458124,U62438,Q05901,ACHB3_HUMAN,8A5U,CHRNB3,,HGNC:1963,Humans,DB00184; DB00898
3591,"Fatty acid-binding protein, intestinal",FABP2,46854681,BC069466,P12104,FABPI_HUMAN,1KZW; 1KZX; 2MJI; 2MO5; 3AKM; 3IFB; 6L7K,FABP2,,HGNC:3556,Humans,DB01050; DB09213
3592,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,31637,X15376,P18507,GBRG2_HUMAN,6D6T; 6D6U; 6HUG; 6HUJ; 6HUK; 6HUO; 6HUP; 6I53; 6X3S; 6X3T; 6X3U; 6X3V; 6X3W; 6X3X; 6X3Z; 6X40; 7QNB; 7QNE; 7T0W; 7T0Z; 8DD2; 8DD3; 8SGO; 8SI9; 8SID; 8VQY; 8VRN,GABRG2,,HGNC:4087,Humans,DB00395; DB00425; DB01205; DB01381; DB02530; DB11859
3593,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,193783776,AK122845,Q8N1C3,GBRG1_HUMAN,,GABRG1,,HGNC:4086,Humans,DB00363; DB00898
3594,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,1754749,S82769,Q99928,GBRG3_HUMAN,,GABRG3,,HGNC:4088,Humans,DB00292; DB00306; DB00349; DB00425; DB00898; DB01154; DB01205; DB06797; DB09118; DB11859; DB12404; DB15490
3595,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,1857126,U66661,P78334,GBRE_HUMAN,,GABRE,,HGNC:4085,Humans,DB00898
3596,Gamma-aminobutyric acid receptor subunit pi,GABRP,2197001,U95367,O00591,GBRP_HUMAN,,GABRP,,HGNC:4089,Humans,DB00898
3597,Gamma-aminobutyric acid receptor subunit theta,GABRQ,7861736,AF189259,Q9UN88,GBRT_HUMAN,,GABRQ,,HGNC:14454,Humans,DB00898
3599,Gamma-aminobutyric acid receptor subunit delta,GABRD,2388693,AF016917,O14764,GBRD_HUMAN,7QN5; 7QN6; 7QN7; 7QN8; 7QN9; 7QNC; 7QND,GABRD,,HGNC:4084,Humans,DB00898; DB11859
3601,Alpha-lactalbumin,LALBA,,,P00709,LALBA_HUMAN,1A4V; 1B9O; 1CB3; 1HML; 3B0I; 3B0O; 4L41,LALBA,,HGNC:6480,Humans,DB03796
3602,Protein S100-A2,S100A2,,M87068,P29034,S10A2_HUMAN,2RGI; 4DUQ,S100A2,,HGNC:10492,Humans,DB00768; DB01593; DB09130; DB14487; DB14533; DB14548
3603,A-type voltage-gated potassium channel KCND2,KCND2,4530478,AF121104,Q9NZV8,KCND2_HUMAN,7E7Z; 7E83; 7E84; 7E87; 7E8B; 7E8E; 7E8H; 7F0J; 7F3F; 7UK5; 7UKC; 7UKD; 7UKE; 7UKF; 7UKG; 7UKH,KCND2,,HGNC:6238,Humans,DB00280; DB00458; DB06637
3604,A-type voltage-gated potassium channel KCND3,KCND3,2935434,AF048712,Q9UK17,KCND3_HUMAN,1S1G; 2NZ0; 7W3Y; 7W6N; 7W6S; 7W6T,KCND3,,HGNC:6239,Humans,DB00280; DB00458; DB01115; DB01390; DB04855; DB06217; DB06637; DB11633
3605,BDNF/NT-3 growth factors receptor,NTRK2,530791,U12140,Q16620,NTRK2_HUMAN,1HCF; 1WWB; 2MFQ; 4ASZ; 4AT3; 4AT4; 4AT5; 5MO9; 8OYD,NTRK2,,HGNC:8032,Humans,DB00321; DB11823; DB11986; DB12010; DB14723; DB16826
3610,Aldo-keto reductase family 1 member D1,AKR1D1,431857,Z28339,P51857,AK1D1_HUMAN,3BUR; 3BUV; 3BV7; 3CAQ; 3CAS; 3CAV; 3CMF; 3COT; 3DOP; 3G1R; 3UZW; 3UZX; 3UZY; 3UZZ,AKR1D1,,HGNC:388,Humans,DB00548; DB01216
